DEPTH,COT_anl,COT,GR,NPHI,PE,RHOB,DT,RT,predicted_COT_model_1_FFNN,predicted_COT_model_1_XGB
2526.0,,0.36,59.89,2.42,3.67,2.25,51.06,1.25,0.7351,0.4665
2544.0,,0.58,89.72,4.54,2.88,2.4,97.91,0.88,1.3012,0.7144
3282.0,,0.43,73.53,3.8,3.13,2.46,88.29,0.03,0.9486,1.1581
3300.0,,0.52,62.97,4.34,3.27,2.44,86.79,0.03,1.1711,0.8373
3318.0,,0.65,64.49,5.3,3.19,2.48,85.7,0.03,1.2129,0.7558
3336.0,,0.72,64.64,4.5,4.02,2.47,86.53,0.03,1.1463,0.796
3354.0,,0.58,60.97,6.72,3.35,2.53,86.02,0.03,1.7767,0.8047
3390.0,,0.71,49.24,6.92,3.55,2.29,87.71,0.03,0.2875,0.733
3426.0,,0.68,59.04,5.5,3.23,2.34,83.82,0.03,1.4791,0.5907
3444.0,,0.64,45.92,5.04,3.45,2.57,82.86,0.03,1.7651,0.6741
3498.0,,0.62,60.72,4.96,3.5,2.56,76.4,0.03,0.8582,0.7886
3516.0,,0.56,53.92,5.76,3.24,2.57,79.87,0.04,1.2946,0.4383
3534.0,,0.6,63.53,4.5,3.44,2.58,77.52,0.03,0.957,0.7868
3552.0,,0.57,55.85,6.04,3.29,2.54,80.64,0.03,1.1558,0.9044
3588.0,,0.59,35.18,6.3,3.48,2.38,77.29,0.04,0.6685,0.6684
3750.0,,0.6,52.73,4.48,3.42,2.55,69.94,0.03,0.8154,0.648
3786.0,,0.52,56.3,4.94,3.03,2.52,74.75,0.03,1.1603,0.2167
3804.0,,0.53,58.96,4.88,2.98,2.53,70.64,0.03,0.9753,0.8333
3840.0,,0.41,44.34,6.0,3.37,2.48,68.55,0.03,0.7924,0.5819
3858.0,,0.49,42.29,5.5,3.24,2.54,73.53,0.03,1.1197,0.9643
3912.0,,0.39,43.58,9.9,4.05,2.48,60.68,0.03,0.4993,0.4214
3930.0,,0.37,50.27,3.88,3.17,2.54,63.19,0.03,0.3096,0.0
3966.0,,0.36,51.53,3.02,3.01,2.54,63.42,0.03,0.3568,0.0023
3984.0,,0.41,48.05,3.08,2.85,2.58,61.84,0.13,0.3593,0.3636
