DEPTH,COT_anl,COT,CAL,GR,NPHI,PE,RHOB,DT,RT,predicted_COT_model_2_XGB,predicted_COT_model_2_FFNN
4950.0,,0.36,16.92,14.13,19.0,4.91,2.46,66.55,556.18,0.467,0.2982
4950.0,,0.693,16.92,14.13,19.0,4.91,2.46,66.55,556.18,0.467,0.2982
4951.0,,0.728,16.92,15.61,17.0,4.74,2.47,68.11,67.49,0.3602,0.3928
4952.0,,0.339,12.77,44.58,12.0,4.84,2.55,65.5,52.05,0.5223,0.6063
4955.0,,0.133,12.76,15.84,12.0,4.81,2.51,64.81,189.58,0.3023,0.5892
4956.0,,0.228,12.77,33.96,11.0,4.42,2.53,64.3,236.27,0.5235,0.6781
4957.0,,0.348,12.74,22.1,14.0,4.43,2.58,62.81,224.43,0.8207,0.5698
4958.0,,0.133,12.74,34.14,16.0,4.47,2.56,63.99,95.64,0.3042,0.6018
4959.0,,0.171,12.76,20.42,11.0,4.86,2.57,63.24,244.81,0.673,0.5346
4960.0,,0.235,12.75,24.67,9.0,4.18,2.62,59.97,166.44,0.6019,0.6455
4961.0,,0.151,12.76,24.25,10.0,4.98,2.58,58.71,20.36,0.6188,0.6666
4962.0,,0.302,12.71,30.56,15.0,4.0,2.5,59.65,34.55,0.5473,0.8774
4964.0,,0.755,12.73,14.05,18.0,5.07,2.3,79.41,249.8,0.3774,0.0
4967.0,,0.226,12.71,16.33,15.0,4.31,2.44,64.56,1689.44,0.555,0.8363
4968.0,,0.576,12.78,15.9,13.0,4.7,2.47,68.22,197.12,0.5586,0.3865
4971.0,,0.246,12.72,22.04,15.0,4.57,2.51,67.45,616.31,0.7054,0.4488
4972.0,,0.218,12.71,15.21,8.0,3.95,2.56,63.46,91.7,0.4504,0.5922
4974.0,,0.237,12.71,13.44,15.0,4.77,2.42,67.6,259.71,0.3431,0.6212
4975.0,,0.218,12.72,9.73,14.0,4.56,2.53,66.61,863.49,0.6086,0.3209
4976.0,,0.545,12.7,15.41,13.0,4.33,2.46,63.27,309.59,0.5705,0.7565
4977.0,,0.157,12.71,12.54,13.0,4.73,2.47,64.63,859.34,0.5613,0.6714
4978.0,,0.151,12.7,12.43,11.0,4.19,2.6,63.35,729.18,0.6358,0.5688
4979.0,,0.031,12.71,12.37,14.0,4.61,2.47,63.69,346.18,0.613,0.7664
4981.0,,0.365,12.7,13.9,14.0,4.76,2.45,64.44,572.18,0.5766,0.7661
4982.0,,0.149,12.71,14.71,14.0,5.09,2.44,66.87,1716.87,0.5787,0.5348
4983.0,,0.21,12.7,13.94,13.0,4.88,2.45,64.44,501.16,0.5175,0.6623
4984.0,,0.481,12.7,14.01,16.0,4.73,2.44,65.85,422.54,0.7029,0.7062
4985.0,,0.041,12.7,14.18,14.0,4.43,2.52,62.16,140.15,0.5583,0.7481
4986.0,,0.143,12.72,15.8,8.0,4.65,2.61,60.33,197.41,0.612,0.6428
4987.0,,0.081,12.72,21.89,5.0,4.05,2.7,55.19,122.33,0.4419,0.7383
4989.0,,0.22,12.69,14.35,21.0,3.51,2.41,70.0,204.81,0.5703,0.4325
4990.0,,0.147,12.71,12.74,13.0,5.24,2.5,65.97,1545.49,0.5539,0.5463
4991.0,,0.134,12.7,14.62,13.0,5.54,2.55,63.95,1989.89,0.4345,0.5826
4994.0,,0.135,12.72,14.63,8.0,4.03,2.59,59.46,116.07,0.4978,0.6934
4995.0,,0.586,12.69,16.25,14.0,4.84,2.53,68.37,68.15,0.7543,0.3851
4996.0,,0.118,12.69,29.16,4.0,4.44,2.72,54.82,95.56,0.2103,0.6924
4997.0,,0.097,12.7,21.24,11.0,4.93,2.5,63.79,145.64,0.3879,0.6353
4998.0,,0.081,12.71,22.48,12.0,5.12,2.53,63.72,152.4,0.3941,0.5977
4999.0,,0.057,12.71,18.13,12.0,4.79,2.52,64.32,79.69,0.3161,0.603
5000.0,,0.078,12.72,16.43,12.0,5.08,2.48,62.69,92.49,0.451,0.7142
5001.0,,0.45,12.71,19.67,11.0,4.14,2.57,62.76,287.83,0.673,0.5535
5002.0,,0.193,12.71,18.32,9.0,4.14,2.54,64.27,517.96,0.5959,0.5905
5003.0,,0.107,12.72,17.97,6.0,4.23,2.65,57.9,443.03,0.4904,0.73
5004.0,,0.08,12.72,17.37,6.0,4.35,2.62,56.77,116.36,0.5581,0.743
5005.0,,0.03,12.72,18.93,5.0,4.76,2.73,56.71,62.13,0.3769,0.6898
5007.0,,0.038,12.71,15.79,9.0,4.28,2.65,56.02,318.86,0.4974,0.7735
5008.0,,0.063,12.71,21.8,9.0,4.42,2.59,61.28,924.22,0.6639,0.622
5009.0,,0.113,12.7,19.31,11.0,4.43,2.56,64.55,154.58,0.6266,0.5212
5010.0,,0.121,12.72,16.72,10.0,4.68,2.59,63.5,153.47,0.5728,0.5249
5012.0,,0.063,12.71,17.26,10.0,4.85,2.59,61.33,136.5,0.6307,0.5929
5013.0,,0.111,12.73,18.42,11.0,4.64,2.48,67.96,1490.45,0.3407,0.4495
5014.0,,0.027,12.73,16.18,9.0,4.86,2.56,61.03,969.81,0.4316,0.674
5015.0,,0.001,12.75,20.18,9.0,4.91,2.6,60.08,412.85,0.6546,0.6429
5016.0,,0.089,12.76,13.93,5.0,5.14,2.68,57.46,642.18,0.381,0.7285
5017.5,,0.449,12.74,16.06,7.0,3.65,2.69,55.66,124.12,0.3623,0.7242
5019.0,,0.022,12.73,15.36,3.0,4.76,2.73,51.32,562.6,0.417,0.7041
5020.0,,0.555,12.74,13.61,7.0,4.78,2.65,56.8,249.45,0.4691,0.7289
5022.0,,0.113,12.79,27.62,8.0,4.28,2.68,55.71,59.74,0.2583,0.6841
5023.0,,0.193,12.73,21.47,6.0,4.49,2.67,56.16,67.29,0.4635,0.7469
5024.0,,0.009,12.75,31.03,5.0,4.66,2.68,57.11,20.19,0.2657,0.7639
5025.0,,0.034,12.73,27.04,10.0,4.52,2.56,59.85,207.13,0.4432,0.668
5027.0,,0.073,12.68,21.73,12.0,4.74,2.53,65.38,1257.47,0.4501,0.5198
5028.0,,0.058,12.68,23.99,15.0,4.51,2.55,66.48,202.84,0.9397,0.4041
5029.0,,0.05,12.73,15.58,13.0,3.86,2.45,65.78,207.94,0.5175,0.5364
5030.0,,0.152,12.71,20.91,13.0,4.01,2.58,62.67,124.93,0.4638,0.67
5034.0,,0.025,12.68,26.83,11.0,4.04,2.5,60.51,455.84,0.5033,0.796
5035.0,,0.075,12.65,24.01,13.0,4.96,2.59,60.07,49.85,0.6147,0.7858
5037.0,,0.049,12.69,29.98,12.0,4.71,2.59,60.2,43.52,0.3327,0.6093
5038.0,,0.037,12.65,23.43,19.0,4.53,2.5,69.38,32.44,0.7105,0.7553
5040.0,,0.019,12.71,23.72,17.0,4.13,2.45,70.48,1352.86,0.5152,0.4677
5041.0,,0.025,12.69,26.12,17.0,4.93,2.44,69.8,215.0,0.3905,0.5538
5042.0,,0.087,12.66,21.69,16.0,4.95,2.44,70.11,702.54,0.7753,0.4628
5043.0,,0.15,12.7,20.61,15.0,5.08,2.51,67.72,63.21,0.6788,0.3934
5044.0,,0.068,12.72,17.79,17.0,4.42,2.44,68.77,148.28,0.3887,0.4592
5045.0,,0.045,12.66,17.47,13.0,4.97,2.49,65.91,112.92,0.5539,0.5396
5046.0,,0.026,12.74,22.29,13.0,4.56,2.51,66.04,207.16,0.3982,0.5104
5047.0,,0.041,12.68,18.16,13.0,5.0,2.49,63.87,87.72,0.5286,0.6717
5048.0,,0.049,12.69,17.26,17.0,4.1,2.44,68.96,128.15,0.4025,0.4465
5050.0,,0.008,12.68,23.35,15.0,4.64,2.48,69.51,77.26,0.8196,0.4371
5051.0,,0.031,12.66,23.09,14.0,4.84,2.46,68.09,63.85,0.5599,0.4014
5052.0,,0.064,12.65,31.25,15.0,4.62,2.49,64.62,73.72,0.7102,0.6099
5052.0,,0.137,12.65,31.25,15.0,4.62,2.49,64.62,73.72,0.7102,0.6099
5053.0,,0.023,12.68,30.8,16.0,4.72,2.48,66.15,57.43,1.0574,0.6524
5055.0,,0.061,12.67,35.0,18.0,4.88,2.44,68.91,67.1,0.4318,0.6785
5056.0,,0.012,12.66,30.41,20.0,5.05,2.39,69.78,86.75,0.3809,0.6679
5057.0,,0.152,12.68,29.05,20.0,5.03,2.37,72.37,86.85,1.9487,0.5607
5057.0,,0.106,12.68,29.05,20.0,5.03,2.37,72.37,86.85,1.9487,0.5607
5061.0,,0.043,12.28,36.0,21.0,4.87,2.45,71.29,32.68,1.0016,0.6262
5062.0,,0.092,12.31,23.71,16.0,4.89,2.47,64.22,74.39,0.7336,0.8599
5063.0,,0.017,12.35,23.8,14.0,5.15,2.48,63.98,128.23,0.757,0.6902
5064.0,,0.112,12.3,26.24,14.0,5.31,2.52,60.89,678.18,0.9455,0.8271
5065.0,,0.138,12.31,27.88,19.0,4.93,2.42,67.17,481.65,0.2196,0.773
5066.0,,0.149,12.32,26.24,20.0,4.81,2.34,72.54,603.38,2.0341,0.6679
5068.0,,0.247,12.31,25.84,18.0,5.04,2.46,68.28,79.69,0.2701,0.4958
5069.0,,0.083,12.3,28.51,16.0,4.64,2.49,65.82,73.81,1.0773,0.7189
5070.0,,0.11,12.3,37.11,16.0,4.66,2.5,64.59,25.71,1.1616,0.6879
5071.0,,0.108,12.35,45.61,16.0,4.35,2.5,66.02,27.56,1.4325,0.5506
5072.0,,0.195,12.31,37.3,17.0,4.99,2.46,67.53,28.85,0.4524,0.581
5075.0,,0.192,12.3,27.16,16.0,4.78,2.49,66.41,19.85,0.9643,0.6234
5076.0,,0.144,12.32,23.41,15.0,4.82,2.48,68.51,207.82,0.646,0.4732
5077.0,,0.128,12.37,29.35,17.0,4.16,2.5,67.24,22.12,0.7874,0.4342
5078.0,,0.088,12.34,35.43,13.0,4.73,2.59,67.99,21.67,0.0351,0.668
5079.0,,0.137,12.32,25.46,13.0,4.82,2.45,67.41,206.15,0.3236,0.4718
5081.0,,0.121,12.3,21.59,20.0,4.91,2.33,64.95,211.91,0.4029,0.9167
5082.0,,0.11,12.25,21.48,21.0,5.36,2.37,73.26,145.72,1.8615,0.4936
5083.0,,0.097,12.33,20.36,21.0,5.26,2.27,75.88,1041.77,1.0942,0.8196
5085.0,,0.164,12.33,22.48,17.0,4.86,2.49,66.01,255.08,0.6173,0.4652
5086.0,,0.069,12.33,21.33,16.0,4.7,2.45,67.84,528.25,0.524,0.608
5087.0,,0.185,12.27,24.25,14.0,4.47,2.52,64.07,736.73,0.8361,0.7182
5088.0,,0.18,12.31,28.03,12.0,4.8,2.54,63.03,167.15,0.2007,0.5826
5089.0,,0.056,12.3,21.07,18.0,4.96,2.38,66.5,37.46,0.3611,0.8734
5091.0,,0.151,12.31,22.33,18.0,4.81,2.35,68.09,292.7,0.3276,0.8786
5092.0,,0.378,12.32,22.99,12.0,4.48,2.45,68.1,721.89,0.2566,0.4813
5096.0,,0.225,12.25,23.29,13.0,4.81,2.42,70.53,504.24,0.537,0.518
5097.0,,0.524,12.31,27.22,17.0,4.74,2.5,69.93,87.56,0.7985,0.4228
